player_api_id,overall_rating
505942,67
155782,74
155782,74
155782,73
162549,65
30572,69
27316,77
27316,77
564793,61
564793,61
528212,48
528212,48
231592,75
231592,74
40719,70
40719,70
40719,70
75489,82
75489,82
75489,82
75489,82
597948,55
597948,55
161644,64
161644,64
161644,64
161644,64
23499,65
23499,65
120919,75
120919,75
120919,75
120919,76
167027,74
167027,74
128456,73
128456,73
128456,73
42664,67
42664,67
467485,63
563215,66
563215,65
563215,64
41093,70
41093,70
564712,64
67334,72
173955,72
173955,72
173955,72
173955,71
39562,75
39562,75
191784,73
191784,73
191784,73
191784,73
210400,69
210400,69
201915,73
201915,73
194479,73
194479,72
194479,72
189181,69
189181,69
189181,69
352887,73
352887,73
409003,60
439366,64
148827,69
148827,69
419681,67
419681,67
419681,67
419681,67
419681,66
89405,66
89405,66
324910,77
324910,78
307227,63
307227,62
307227,63
307227,64
525595,71
525595,71
24385,73
24385,73
24385,73
105548,73
105548,73
172875,69
172875,69
172875,69
240556,68
37422,71
114503,67
114503,67
165706,73
165706,73
213695,71
25571,76
25571,75
25571,75
25571,75
25571,75
25571,75
660145,61
293235,73
293235,73
293235,71
293235,71
495841,72
495841,72
495841,72
495841,72
495841,70
495841,70
495841,69
495841,69
495841,69
495841,68
495841,67
519835,67
519835,67
519835,67
519835,67
519835,67
519835,67
27534,69
27534,69
157303,73
557396,62
557396,62
557396,61
365666,59
180197,66
180197,66
180197,66
180197,66
180197,66
429870,62
429870,62
429870,62
361712,60
361712,60
361712,60
361712,59
173993,68
173993,68
173993,68
277313,69
277313,69
277313,69
277313,69
277313,69
281079,66
281079,66
89240,69
89240,69
414208,57
414208,57
414208,57
414208,57
43317,67
37234,80
37234,80
37234,80
24952,70
24952,70
24952,70
24952,70
24952,71
24952,71
24952,72
209372,74
209372,74
209372,75
478447,69
478447,69
478447,69
478447,69
500502,73
500502,73
500502,72
170593,73
170593,73
170593,73
170593,73
69249,66
69249,66
69249,65
69249,63
69249,63
69249,63
684978,69
684978,67
684978,67
684978,66
306507,64
306507,64
73078,72
73078,72
31916,71
36774,74
36774,75
36774,75
243068,66
164360,67
164360,66
357881,68
181211,74
181211,74
47394,75
47394,76
47394,77
47394,78
155738,79
155738,79
155738,79
155738,79
155738,79
155738,79
361710,80
568920,67
568920,67
45816,66
40012,71
276701,69
131409,70
131409,69
131409,69
132844,77
132844,77
449241,75
261599,74
261599,74
261599,74
182107,62
182107,62
102572,70
102572,70
102572,70
113604,61
113604,61
482331,73
40501,73
40501,73
40501,73
40501,73
45744,77
45744,77
45744,75
45744,75
571685,72
571685,70
571685,70
112976,66
112976,66
239253,63
239253,61
50345,78
50345,77
323385,72
323385,73
168047,70
168047,70
169756,78
169756,78
169756,78
169756,78
33992,77
33992,77
33992,79
447107,65
447107,64
352879,77
352879,77
188413,77
188413,77
188413,74
188413,74
40930,80
40930,79
40930,79
40930,79
317062,73
317062,73
317062,73
242719,74
242719,73
242719,73
263276,71
263276,71
213366,73
213366,73
213366,73
213366,74
213366,74
213366,74
213366,74
213366,74
441441,73
441441,73
441441,73
441441,73
441441,72
441441,74
441441,74
441441,74
441441,74
119305,64
119305,64
119305,63
119305,63
119305,63
256728,65
513810,64
513810,64
513810,64
513810,65
111930,74
297556,65
120917,70
232103,76
232103,76
232103,76
232103,76
232103,76
582500,53
582500,53
582500,53
582500,53
32448,76
32448,76
32448,76
32448,76
32448,76
213737,63
213737,65
715642,59
210683,77
210683,77
210683,77
24160,69
24160,69
243127,68
243127,68
33451,70
33451,69
34268,64
34417,70
34417,71
34417,71
34417,71
32870,73
92935,76
92935,76
14100,68
32845,60
667963,66
667963,66
30248,63
312585,61
312585,61
312585,61
25926,74
25926,74
294859,75
294859,75
289250,66
160220,67
160220,67
160220,67
698273,70
698273,67
94883,74
177689,63
177689,63
37483,72
37483,72
37483,72
396912,62
396912,62
396912,62
484858,73
484858,74
484858,74
27694,77
27694,77
27694,78
27694,78
27694,78
107929,74
107929,74
107929,74
41168,76
41168,76
41168,76
41168,76
47565,77
47565,77
102394,67
30881,74
30881,74
30881,74
575364,70
575364,70
575364,70
575364,69
575364,66
543020,68
543020,68
543020,67
543020,66
543020,64
37451,72
37451,72
314605,77
109121,77
109121,77
109121,77
109121,77
39302,67
39302,65
39302,65
74028,65
88521,72
38576,72
38576,72
527104,64
493418,54
661509,54
661509,54
664961,66
664961,63
664961,60
39345,70
39345,68
39345,68
189192,79
38131,71
38131,71
38131,71
38131,72
191906,75
169217,75
151079,74
151079,74
45220,78
45220,78
45220,77
45220,77
45220,77
45220,77
45220,77
45220,76
97657,74
303484,73
303484,74
303484,74
303484,75
168569,71
288406,70
288406,70
288406,70
282470,72
282470,72
282470,71
282470,71
282470,71
282470,71
282470,71
282470,70
282470,70
282470,70
302911,65
302911,65
302911,65
364496,67
364496,67
167094,73
16351,78
16351,79
426005,63
426005,62
426005,62
426005,62
426005,62
426005,62
426005,62
426005,63
426005,63
351860,76
351860,76
164519,72
124144,71
124144,70
69018,65
156534,67
156534,67
156534,67
156534,67
156534,67
208852,67
208852,67
208852,67
68839,62
68839,63
68839,64
68839,65
26169,73
26169,73
26169,73
395154,77
39145,69
39470,69
39470,71
39762,67
39762,67
197848,65
197848,65
154238,65
561819,64
41475,75
41475,75
41475,75
41475,75
264842,79
264842,79
42443,67
42443,67
42443,67
42443,67
42443,67
42443,68
41816,74
41816,75
41816,75
41816,75
41816,75
41816,76
41816,77
182843,67
7683,66
73047,66
73047,66
73047,65
215725,69
41411,77
41411,77
41411,77
620524,63
620524,63
620524,63
620524,62
620524,61
31304,73
31304,73
31304,73
31304,73
461357,72
